# Tab-separated values. Open with a spreadsheet app such as Excel.

# READ-ONLY. DO NOT MODIFY OR DELETE.

#Template Name	#Size (bytes)
TkEntitlementList	0x0000000000000010
GcRewardJetpackBoost	0x0000000000000010
TkHitCurveData	0x0000000000000010
TkLanguageFontTable	0x0000000000000010
TkLocalisationTable	0x0000000000000010
TkModelDescriptorList	0x0000000000000010
TkMonitorName	0x0000000000000010
TkNGuiLayoutList	0x0000000000000010
TkNoiseSuperFormulaData	0x0000000000000010
TkProceduralModelComponentData	0x0000000000000010
TkProceduralTextureChosenOptionList	0x0000000000000010
TkProceduralTextureChosenOptionSampler	0x0000000000000010
TkTrophyData	0x0000000000000010
Quaternion	0x0000000000000010
Vector4f	0x0000000000000010
GcDate	0x0000000000000014
GcExpeditionDurationValues	0x0000000000000014
GcFrigateClassCost	0x0000000000000014
GcFrigateUITraitLines	0x0000000000000014
GcProceduralTechnologyStatLevel	0x0000000000000014
GcBaseBuildingComponentData	0x0000000000000014
GcCameraShakeCapturedData	0x0000000000000014
GcGalacticAddressData	0x0000000000000014
GcInteractionDof	0x0000000000000014
GcInventoryBaseStatEntry	0x0000000000000014
GcItemPriceModifiers	0x0000000000000014
GcNPCHabitationComponentData	0x0000000000000014
GcRewardScan	0x0000000000000014
GcRewardWeapon	0x0000000000000014
GcScanData	0x0000000000000014
GcSolarSystemTraderSpawnData	0x0000000000000014
TkNGuiRectanglePulseEffect	0x0000000000000014
TkShearWindOctaveData	0x0000000000000014
GcTechnologyAttachmentComponentData	0x0000000000000015
TkLODComponentData	0x0000000000000018
TkAnimVectorBlendNode	0x0000000000000018
GcCharacterCustomisationBoneScaleData	0x0000000000000018
GcMissionIDEpochPair	0x0000000000000018
GcRefinerRecipeElement	0x0000000000000018
GcExpeditionPaymentToken	0x0000000000000018
TkNetReplicatedEntityComponentData	0x0000000000000018
TkProceduralInstanceData	0x0000000000000018
GcNPCProbabilityAnimationData	0x0000000000000018
GcBuildingBlueprint	0x0000000000000018
GcRewardModifyStat	0x0000000000000018
GcRewardMissionMessageSeeded	0x0000000000000018
GcRewardSecondarySubstance	0x0000000000000018
GcRewardInterventionResponse	0x0000000000000018
GcRewardUpgradeBase	0x0000000000000018
GcRewardDisplayTechWindow	0x0000000000000018
GcAISpaceshipPreloadList	0x0000000000000018
GcAnimFrameEvent	0x0000000000000018
GcBaseBuildingTriggerAction	0x0000000000000018
GcBuildingCostPartCount	0x0000000000000018
GcBuildingDistribution	0x0000000000000018
GcCameraShakeAction	0x0000000000000018
GcCostInstalledTech	0x0000000000000018
GcCostJourneyStatLevel	0x0000000000000018
GcCreatureAlertData	0x0000000000000018
GcCreatureComponentData	0x0000000000000018
GcCreatureFullBodyIKComponentData	0x0000000000000018
GcCreatureGroupProbability	0x0000000000000018
GcGeneratedShipCounts	0x0000000000000018
GcGoToStateAction	0x0000000000000018
GcInteractionBaseBuildingState	0x0000000000000018
GcInventoryTechProbability	0x0000000000000018
GcMessageCrime	0x0000000000000018
GcMissionConditionBasePartNear	0x0000000000000018
GcMissionConditionGroup	0x0000000000000018
GcNGuiStyleAnimationData	0x0000000000000018
GcNGuiStyleAnimationKeyframeData	0x0000000000000018
GcNPCPlacementComponentData	0x0000000000000018
GcObjectSpawnDataArray	0x0000000000000018
GcPerformanceFlyby	0x0000000000000018
GcPhotoModeAdjustData	0x0000000000000018
GcPlayerSpaceshipAim	0x0000000000000018
GcPortalSaveData	0x0000000000000018
GcProjectileImpactData	0x0000000000000018
GcRealitySubstanceCraftingMix	0x0000000000000018
GcRewardMission	0x0000000000000018
GcRewardMissionMessage	0x0000000000000018
GcRewardProductRecipe	0x0000000000000018
GcRewardSpecificProductRecipe	0x0000000000000018
GcRewardSpecificProductRecipeFromList	0x0000000000000018
GcRewardSpecificTechFromList	0x0000000000000018
GcRewardTableItemList	0x0000000000000018
GcRewardTechRecipe	0x0000000000000018
GcTechnologyRequirement	0x0000000000000018
GcTerrainOverlayColours	0x0000000000000018
GcTracerData	0x0000000000000018
GcUniverseAddressData	0x0000000000000018
GcWordKnowledge	0x0000000000000018
TkAnimPoseData	0x0000000000000018
TkAnimPoseExampleElement	0x0000000000000018
TkLanguagesAllowedData	0x0000000000000018
TkPhysicsData	0x0000000000000018
GcAISpaceshipWeightingData	0x000000000000001C
GcDiscoveryWorth	0x000000000000001C
GcDistanceScaleComponentData	0x000000000000001C
GcGalaxySolarSystemOrbitParams	0x000000000000001C
GcInventorySlotActionData	0x000000000000001C
GcInventoryValueData	0x000000000000001C
GcPlayerStickData	0x000000000000001C
GcRewardProduct	0x000000000000001C
GcRewardSubstance	0x000000000000001C
GcSavedInteractionRaceData	0x000000000000001C
GcScanEventSolarSystemLookup	0x000000000000001C
GcShipAIDeathData	0x000000000000001C
GcZoomData	0x000000000000001C
TkInputFrame	0x000000000000001C
TkNoiseSuperPrimitiveData	0x000000000000001C
TkTrailData	0x000000000000001C
GcMissionConditionStatChange	0x0000000000000020
GcCharacterCustomisationColourData	0x0000000000000020
TkPhysRelVectorData	0x0000000000000020
TkResourceFilterData	0x0000000000000020
GcPlayerCharacterIKOverrideData	0x0000000000000020
GcExpeditionHologramComponentData	0x0000000000000020
GcExpeditionEventTable	0x0000000000000020
GcPassiveFrigateIncome	0x0000000000000020
GcRewardMissionOverride	0x0000000000000020
GcRewardStatCompareAndSet	0x0000000000000020
GcActionTriggerState	0x0000000000000020
GcMissionConsequenceRemoveCommunicatorMessage	0x0000000000000020
GcAISpaceshipPreloadCacheData	0x0000000000000020
GcBuildingPartSearchType	0x0000000000000020
GcButtonSpawnOffset	0x0000000000000020
GcColouriseComponentData	0x0000000000000020
GcCostProduct	0x0000000000000020
GcCostSubstance	0x0000000000000020
GcCreatureBaitComponentData	0x0000000000000020
GcCreatureFootParticleSingleData	0x0000000000000020
GcCreatureGroupDescription	0x0000000000000020
GcCreatureNearbyEvent	0x0000000000000020
GcCreatureRoleDescriptionTable	0x0000000000000020
GcExperienceTimers	0x0000000000000020
GcHeavyAirColourData	0x0000000000000020
GcHeavyAirSettingValues	0x0000000000000020
GcInteractionData	0x0000000000000020
GcInventoryGenerationBaseStatDataEntry	0x0000000000000020
GcInventoryLayout	0x0000000000000020
GcInventoryTableEntry	0x0000000000000020
GcItemCostData	0x0000000000000020
GcLootComponentData	0x0000000000000020
GcMaintenanceGroupEntry	0x0000000000000020
GcMissionConditionIsScanEventLocal	0x0000000000000020
GcMissionConsequenceRemoveScanEvent	0x0000000000000020
GcNPCComponentData	0x0000000000000020
GcPainAction	0x0000000000000020
GcPlayerMissionParticipant	0x0000000000000020
GcPlayerMissionProgressMapEntry	0x0000000000000020
GcPlayerStat	0x0000000000000020
GcProjectileDataTable	0x0000000000000020
GcPurchaseableBuildingBlueprints	0x0000000000000020
GcRewardDamageTech	0x0000000000000020
GcRewardMissionSeeded	0x0000000000000020
GcRewardSpecificProduct	0x0000000000000020
GcScanEventTriggers	0x0000000000000020
GcSelectableObjectSpawnList	0x0000000000000020
GcSpawnDensity	0x0000000000000020
GcStatGroupData	0x0000000000000020
GcSubstanceSecondary	0x0000000000000020
GcSubstanceSecondaryLookup	0x0000000000000020
GcSubstanceTable	0x0000000000000020
